Species,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
PinMon,0.38,0.2906,0.0474,0,0.056,0.262,0.13,0.112,0,0,0,0,0.024,0.7884
PinEdu,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0
PinX,0,0,0.152,0,0,0.078,0,0,0,0,0,0,0,0
JunOst,0,0.22,0.086,0,0.31,0,0,0,0,0,0,0,0,0
QueCry,0.332,0.338,0.714,0.088,0,0,0,0,0,0,0.896,0,0,0.24
QueTur,0.195,0.184,0,0.048,0,0.3556,0.453,0,0,0,0,0,0,0
GarFla,0.028,0.118,0.2006,0.13,0,0.121,0.067,0,0,0,0.35,0.288,0.334,0.201
EriAng,0.178,0,0,0,0.1464,0,0,0,0,0,0,0,0,0
BriCal,0,0.003,0,0.0278,0,0,0,0,0,0,0,0.075,0,0
CeaPau,0,0,0.071,0,0,0.1384,0,0.1,0.183,0.091,0,0,0.05,0.227
RhaIli,0,0,0.013,0,0,0,0,0.07,0.051,0,0,0.029,0.335,0
FraCal,0,0,0,0.22,0,0,0.213,0,0,0.1944,0.161,0.1404,0.038,0
RhuAro,0,0,0,0,0.158,0.014,0,0,0,0.338,0,0,0,0
ArcPun,0,0,0,0,0,0.18,0,0.0672,0.04,0,0,0,0.05,0
QueWis,0,0,0,0,0,0,0,0.383,0.228,0.419,0,0,0,0.24
QueJoh,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0.033
CerBet,0,0,0,0,0,0,0,0.221,0.031,0.024,0,0,0.05,0.169
EriTri,0,0,0,0,0,0,0,0.033,0.0016,0,0,0,0.1216,0
HesYuc,0,0,0,0,0,0,0,0.084,0.1704,0,0,0.044,0.187,0.009
EriFas,0,0,0,0,0,0,0,0.1566,0.0368,0,0,0,0.0556,0
ArcGlan,0,0,0,0,0,0,0,0.182,0.11,0,0,0.195,0.078,0
